row_id,smiles,status,n_atoms,coord_mean_abs,hepg2_pIC50,hct116_pIC50
75,C=C(C)[C@@H]1CC[C@]2(C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)C[C@@H](Cc6cn([C@]7(CO)O[C@@H](n8ccc(O)nc8=O)[C@@H](F)[C@@H]7O)nn6)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,119,2.720343828201294,4.43,
76,C=C(C)[C@@H]1CC[C@]2(C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)C[C@@H](Cc6cn([C@]7(CO)O[C@@H](n8ccc(O)nc8=O)[C@H](O)[C@@H]7O)nn6)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,118,2.7706942558288574,4.2,
77,C=C(C)[C@@H]1CC[C@]2(C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)C[C@@H](Cc6cn([C@]7(CO)O[C@@H](n8ccc(O)nc8=O)[C@H](O)[C@@H]7O)nn6)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,120,2.619251251220703,4.35,
78,C=C(C)[C@@H]1CC[C@]2(C(=O)OC/C=C/CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,93,2.1306982040405273,4.42,
79,C=C(C)[C@@H]1CC[C@]2(C(=O)OC/C=C/CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)[C@@](C)(COC(C)=O)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,103,2.5416178703308105,5.13,
80,C=C(C)[C@@H]1CC[C@]2(C(=O)OCCN3CCOCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,101,2.3277699947357178,4.23,
81,C=C(C)[C@@H]1CC[C@]2(C(=O)OCCN3CCOCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)[C@@](C)(COC(C)=O)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,111,2.647460460662842,4.91,
82,C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3cn([C@H]4C[C@H](n5cc(C)c(=O)[nH]c5=O)O[C@@H]4CO)nn3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,118,2.7377877235412598,5.16,
83,C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3cn([C@H]4C[C@H](n5cc(C)c(=O)[nH]c5=O)O[C@@H]4CO)nn3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@H](C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,115,3.0775563716888428,5.14,
84,C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3cn([C@H]4C[C@H](n5cc(C)c(=O)[nH]c5=O)O[C@@H]4CO)nn3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)CC(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,135,2.843714475631714,4.45,
85,C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3cn([C@H]4C[C@H](n5cc(C)c(=O)[nH]c5=O)O[C@@H]4CO)nn3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CCC(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,129,3.0289013385772705,4.69,
