row_id,smiles,status
1903,O=C(Nc1ccc(N2C=C(COc3ccc(-c4cc(-c5ccc(OCc6cn(-c7ccc(NC(=O)[C@H]8CCCN8)cc7)nn6)cc5)cc(-c5ccc(OCc6cn(-c7ccc(NC(=O)[C@H]8CCCN8)cc7)nn6)cc5)c4)cc3)NN2)cc1)[C@H]1CCCN1,skip_too_large
1949,O=C([O-])CC(SCCCOC[C@H]1O[C@@H](O[C@H]2[C@H](OCCCSC(CC(=O)[O-])C(=O)[O-])[C@@H](OCCCSC(CC(=O)[O-])C(=O)[O-])C(OCCCSC(CC(=O)[O-])C(=O)[O-])O[C@@H]2COCCCSC(CC(=O)[O-])C(=O)[O-])[C@H](OCCCSC(CC(=O)[O-])C(=O)[O-])[C@@H](OCCCSC(CC(=O)[O-])C(=O)[O-])[C@@H]1OCCCSC(CC(=O)[O-])C(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],skip_too_large
1950,O=C([O-])CC(SCCCOC[C@H]1O[C@@H](O[C@H]2[C@H](OCCCSC(CC(=O)[O-])C(=O)[O-])[C@@H](OCCCSC(CC(=O)[O-])C(=O)[O-])[C@@H](OCCCSC(CC(=O)[O-])C(=O)[O-])O[C@@H]2COCCCSC(CC(=O)[O-])C(=O)[O-])[C@H](OCCCSC(CC(=O)[O-])C(=O)[O-])[C@@H](OCCCSC(CC(=O)[O-])C(=O)[O-])[C@@H]1OCCCSC(CC(=O)[O-])C(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],skip_too_large
1951,O=C([O-])CC(SCCCOC[C@H]1O[C@@](COCCCSC(CC(=O)[O-])C(=O)[O-])(O[C@H]2O[C@H](COCCCSC(CC(=O)[O-])C(=O)[O-])[C@@H](OCCCSC(CC(=O)[O-])C(=O)[O-])[C@H](OCCCSC(CC(=O)[O-])C(=O)[O-])[C@H]2OCCCSC(CC(=O)[O-])C(=O)[O-])[C@@H](OCCCSC(CC(=O)[O-])C(=O)[O-])[C@@H]1OCCCSC(CC(=O)[O-])C(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],skip_too_large
2190,C/C=C1/CN2CC[C@@]34c5c(ccc6c5O[C@@H]5OC[C@@H]7[C@@H](C[C@H]8c9c(c%10ccccc%10n9C)C[C@@H]7N8C)[C@@H]5[C@@H]6C)N(C)[C@H]3[C@@H]2C[C@H]1C4C(=O)OC,embed_failed
2191,C/C=C1/CN2CC[C@@]34c5cc([C@@H](C)[C@H]6[C@@H]7C[C@H]8c9c(c%10ccccc%10n9C)C[C@@H]([C@@H]7CO[C@@H]6O)N8C)c(OC)cc5N(C)[C@H]3[C@@H]2C[C@H]1C4C(=O)OC,embed_failed
2243,C=C[C@]1(C)C=C2C(=O)C(O)=C3[C@@]4(O)[C@H](C[C@H](OC(C)=O)[C@]3(C)COC(=O)C(C)C)C[C@]24CC1,embed_failed
2244,C=C[C@]1(C)C=C2C(=O)C(O)=C3[C@@]4(OC)[C@H](C[C@H](OC(C)=O)[C@]3(C)COC(=O)C(C)C)C[C@]24CC1,embed_failed
2264,CC(=O)OCCN(CCOC(C)=O)C(=O)OCO[C@H]1C[C@H]2OC[C@@]2(OC(C)=O)C2[C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C([C@@H](OC(C)=O)C(=O)[C@@]21C)C3(C)C,skip_too_large
2276,CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,skip_too_large
2277,CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2OCOC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,skip_too_large
2278,CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2OCOC(=O)N(CCOC(=O)CCCc1ccc(N(CCCl)CCCl)cc1)CCOC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,skip_too_large
