cell_line,activity_id,assay_chembl_id,molecule_chembl_id,canonical_smiles,target_pref_name,target_organism,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value_final,pchembl_source,pchembl_value_raw,data_validity_comment,standard_value_molar,standard_value_nM,pchembl_backcalc_molar,pchembl_backcalc_nM,p_from_standard,p_delta_abs
HCT116,73688,CHEMBL689626,CHEMBL296586,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1,HCT-116,Homo sapiens,F,GI50,=,1995.26,nM,5.700001,fallback_from_standard_value_units,,,1.99526e-06,1995.26,1.995258e-06,1995.257721,5.700001,0.0
HCT116,74293,CHEMBL686467,CHEMBL406892,CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](OC(=O)OC(C)C)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)COC1C[C@@H]2O,HCT-116,Homo sapiens,F,IC50,>,80.0,nM,7.09691,fallback_from_standard_value_units,,,8e-08,80.0,8e-08,80.000002,7.09691,0.0
HCT116,74689,CHEMBL689626,CHEMBL98360,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2cc(Br)ccc2N1,HCT-116,Homo sapiens,F,GI50,>,100000.0,nM,4.0,fallback_from_standard_value_units,,,0.0001,100000.0,0.0001,100000.0,4.0,0.0
HCT116,74692,CHEMBL689626,CHEMBL329063,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2cc(O)c(O)cc2N1,HCT-116,Homo sapiens,F,GI50,>,100000.0,nM,4.0,fallback_from_standard_value_units,,,0.0001,100000.0,0.0001,100000.0,4.0,0.0
HCT116,74695,CHEMBL689627,CHEMBL317539,COC(=O)CN1C(=O)Cc2c([nH]c3ccc(Br)cc23)-c2ccccc21,HCT-116,Homo sapiens,F,GI50,=,25118.86,nM,4.6,fallback_from_standard_value_units,,,2.511886e-05,25118.86,2.5118864e-05,25118.864315,4.6,0.0
HCT116,74696,CHEMBL858677,CHEMBL317539,COC(=O)CN1C(=O)Cc2c([nH]c3ccc(Br)cc23)-c2ccccc21,HCT-116,Homo sapiens,F,GI50,=,15848.93,nM,4.8,fallback_from_standard_value_units,,,1.584893e-05,15848.93,1.5848932e-05,15848.931925,4.8,0.0
HCT116,75875,CHEMBL689626,CHEMBL328194,COc1cc2c(cc1OC)-c1[nH]c3ccc(C(F)(F)F)cc3c1CC(=O)N2,HCT-116,Homo sapiens,F,GI50,=,1995.26,nM,5.700001,fallback_from_standard_value_units,,,1.99526e-06,1995.26,1.995258e-06,1995.257721,5.700001,0.0
HCT116,75879,CHEMBL689627,CHEMBL328164,CSC1=Nc2ccccc2-c2[nH]c3ccc(Br)cc3c2C1,HCT-116,Homo sapiens,F,GI50,=,1995.26,nM,5.700001,fallback_from_standard_value_units,,,1.99526e-06,1995.26,1.995258e-06,1995.257721,5.700001,0.0
HCT116,75880,CHEMBL858677,CHEMBL328164,CSC1=Nc2ccccc2-c2[nH]c3ccc(Br)cc3c2C1,HCT-116,Homo sapiens,F,GI50,=,1584.89,nM,5.800001,fallback_from_standard_value_units,,,1.58489e-06,1584.89,1.58489e-06,1584.889543,5.800001,0.0
HCT116,76683,CHEMBL687063,CHEMBL446173,CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1[C@@H](Cl)[C@@H]2O,HCT-116,Homo sapiens,F,IC50,=,1.2,nM,8.92,pchembl_value,8.92,,1.2e-09,1.2,1.202e-09,1.202264,8.920819,0.000819
HCT116,76962,CHEMBL689627,CHEMBL52387,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,HCT-116,Homo sapiens,F,GI50,=,7943.28,nM,5.1,fallback_from_standard_value_units,,,7.94328e-06,7943.28,7.943282e-06,7943.282347,5.1,0.0
HCT116,76963,CHEMBL858677,CHEMBL52387,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,HCT-116,Homo sapiens,F,GI50,=,7943.28,nM,5.1,fallback_from_standard_value_units,,,7.94328e-06,7943.28,7.943282e-06,7943.282347,5.1,0.0
