cell_line,activity_id,assay_chembl_id,molecule_chembl_id,canonical_smiles,target_pref_name,target_organism,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value_final,pchembl_source,pchembl_value_raw,data_validity_comment,standard_value_molar,standard_value_nM,pchembl_backcalc_molar,pchembl_backcalc_nM,p_from_standard,p_delta_abs
HepG2,176748,CHEMBL686032,CHEMBL122605,CC(C)c1ccc(CC2CCCc3c2nn(-c2ccc(F)cc2)c3/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])cc1.[Na+],HepG2,Homo sapiens,F,IC50,=,230.0,nM,6.64,pchembl_value,6.64,,2.3e-07,230.0,2.29087e-07,229.086765,6.638272,0.001728
HepG2,177726,CHEMBL694940,CHEMBL299872,Nc1ccn([C@@H]2CC[C@H](CO)O2)c(=O)n1,HepG2,Homo sapiens,F,IC50,>,100000.0,nM,4.0,fallback_from_standard_value_units,,,0.0001,100000.0,0.0001,100000.0,4.0,0.0
HepG2,178046,CHEMBL692121,CHEMBL122815,COc1cccc(CC2CCCc3c2nn(-c2ccc(F)cc2)c3/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1.[Na+],HepG2,Homo sapiens,F,IC50,=,1200.0,nM,5.92,pchembl_value,5.92,,1.2e-06,1200.0,1.202264e-06,1202.264435,5.920819,0.000819
HepG2,178048,CHEMBL692123,CHEMBL124769,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(C/C=C/c1ccccc1)CCC2.[Na+],HepG2,Homo sapiens,F,IC50,=,1000.0,nM,6.0,pchembl_value,6.00,,1e-06,1000.0,1e-06,1000.0,6.0,0.0
HepG2,180286,CHEMBL694940,CHEMBL313372,Nc1nc(=O)n([C@H]2C=C[C@@H](CO)S2)cc1F,HepG2,Homo sapiens,F,IC50,>,50000.0,nM,4.30103,fallback_from_standard_value_units,,,5e-05,50000.0,5e-05,49999.999501,4.30103,0.0
HepG2,180424,CHEMBL694939,CHEMBL329399,CC1=C(SCCCO)C(=O)c2ccccc2C1=O,HepG2,Homo sapiens,F,IC50,=,9530.0,nM,5.02,pchembl_value,5.02,,9.53e-06,9530.0,9.549926e-06,9549.92586,5.020907,0.000907
HepG2,180545,CHEMBL686031,CHEMBL331770,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(Cc1ccccc1)CCC2.[Na+],HepG2,Homo sapiens,F,IC50,=,170.0,nM,6.77,pchembl_value,6.77,,1.7e-07,170.0,1.69824e-07,169.824365,6.769551,0.000449
HepG2,183205,CHEMBL692124,CHEMBL339423,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(c1ccccc1)CCC2.[Na+],HepG2,Homo sapiens,F,IC50,=,8100.0,nM,5.09,pchembl_value,5.09,,8.1e-06,8100.0,8.128305e-06,8128.305162,5.091515,0.001515
HepG2,183207,CHEMBL692120,CHEMBL121014,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(CCCc1ccccc1)CCC2.[Na+],HepG2,Homo sapiens,F,IC50,=,870.0,nM,6.06,pchembl_value,6.06,,8.7e-07,870.0,8.70964e-07,870.96359,6.060481,0.000481
HepG2,184853,CHEMBL698436,CHEMBL18075,O=c1nc(/N=C/N2CCOCC2)ccn1C1CSC(CO)O1,HepG2,Homo sapiens,F,EC50,=,50.0,nM,7.3,pchembl_value,7.30,,5e-08,50.0,5.0119e-08,50.118723,7.30103,0.00103
