cell_line,activity_id,assay_chembl_id,molecule_chembl_id,canonical_smiles,target_pref_name,target_organism,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value_final,pchembl_source,pchembl_value_raw,data_validity_comment
HepG2,176748,CHEMBL686032,CHEMBL122605,CC(C)c1ccc(CC2CCCc3c2nn(-c2ccc(F)cc2)c3/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])cc1.[Na+],HepG2,Homo sapiens,F,IC50,=,230.0,nM,6.64,pchembl_value,6.64,
HepG2,177726,CHEMBL694940,CHEMBL299872,Nc1ccn([C@@H]2CC[C@H](CO)O2)c(=O)n1,HepG2,Homo sapiens,F,IC50,>,100000.0,nM,4.0,fallback_from_standard_value_units,,
HepG2,178046,CHEMBL692121,CHEMBL122815,COc1cccc(CC2CCCc3c2nn(-c2ccc(F)cc2)c3/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1.[Na+],HepG2,Homo sapiens,F,IC50,=,1200.0,nM,5.92,pchembl_value,5.92,
HepG2,178048,CHEMBL692123,CHEMBL124769,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(C/C=C/c1ccccc1)CCC2.[Na+],HepG2,Homo sapiens,F,IC50,=,1000.0,nM,6.0,pchembl_value,6.00,
HepG2,180286,CHEMBL694940,CHEMBL313372,Nc1nc(=O)n([C@H]2C=C[C@@H](CO)S2)cc1F,HepG2,Homo sapiens,F,IC50,>,50000.0,nM,4.30103,fallback_from_standard_value_units,,
HepG2,180424,CHEMBL694939,CHEMBL329399,CC1=C(SCCCO)C(=O)c2ccccc2C1=O,HepG2,Homo sapiens,F,IC50,=,9530.0,nM,5.02,pchembl_value,5.02,
HepG2,180545,CHEMBL686031,CHEMBL331770,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(Cc1ccccc1)CCC2.[Na+],HepG2,Homo sapiens,F,IC50,=,170.0,nM,6.77,pchembl_value,6.77,
HepG2,183205,CHEMBL692124,CHEMBL339423,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(c1ccccc1)CCC2.[Na+],HepG2,Homo sapiens,F,IC50,=,8100.0,nM,5.09,pchembl_value,5.09,
HepG2,183207,CHEMBL692120,CHEMBL121014,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(CCCc1ccccc1)CCC2.[Na+],HepG2,Homo sapiens,F,IC50,=,870.0,nM,6.06,pchembl_value,6.06,
HepG2,184853,CHEMBL698436,CHEMBL18075,O=c1nc(/N=C/N2CCOCC2)ccn1C1CSC(CO)O1,HepG2,Homo sapiens,F,EC50,=,50.0,nM,7.3,pchembl_value,7.30,
HepG2,193521,CHEMBL698436,CHEMBL278480,O=c1nc(/N=C/N(c2ccccc2)c2ccccc2)ccn1C1CSC(CO)O1,HepG2,Homo sapiens,F,EC50,=,50.0,nM,7.3,pchembl_value,7.30,
HepG2,205358,CHEMBL698436,CHEMBL141,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,HepG2,Homo sapiens,F,EC50,=,200.0,nM,6.7,pchembl_value,6.70,
HepG2,210189,CHEMBL698436,CHEMBL18509,COc1ccc(N(/C=N/c2ccn(C3CSC(CO)O3)c(=O)n2)c2ccc(OC)cc2)cc1,HepG2,Homo sapiens,F,EC50,=,30.0,nM,7.52,pchembl_value,7.52,
HepG2,220777,CHEMBL698436,CHEMBL418365,CN(C)/C=N/c1ccn(C2CSC(CO)O2)c(=O)n1,HepG2,Homo sapiens,F,EC50,=,10.0,nM,8.0,pchembl_value,8.00,
HepG2,221936,CHEMBL698436,CHEMBL18676,O=c1nc(/N=C/N(c2ccc(F)cc2)c2ccc(F)cc2)ccn1C1CSC(CO)O1,HepG2,Homo sapiens,F,EC50,=,10.0,nM,8.0,pchembl_value,8.00,
HepG2,228000,CHEMBL694354,CHEMBL17239,CCCCCCCCCCCCC(=O)N1CCC(C(C)CO)CC1,HepG2,Homo sapiens,F,IC50,=,12.0,nM,7.92,pchembl_value,7.92,
HepG2,239550,CHEMBL694354,CHEMBL418176,CC(C)CCCC(C)CCCC(C)N1CCCCC1,HepG2,Homo sapiens,F,IC50,=,30000.0,nM,4.52,pchembl_value,4.52,
HepG2,257264,CHEMBL694354,CHEMBL17168,CCCCCCCCCCCC(=O)N1CC[C@H]2[C@H](C)[C@@H](O)CC[C@]2(C)C1,HepG2,Homo sapiens,F,IC50,=,0.7,nM,9.15,pchembl_value,9.15,
HepG2,259988,CHEMBL694354,CHEMBL17737,CCCCCCCCCCCCN1CCC(C(C)CO)CC1,HepG2,Homo sapiens,F,IC50,=,40.0,nM,7.4,pchembl_value,7.40,
HepG2,269569,CHEMBL694356,CHEMBL171878,CC(=O)OC[C@@H]1C=C[C@H](n2cc(F)c(N)nc2=O)O1,HepG2,Homo sapiens,F,IC50,>,100000.0,nM,4.0,fallback_from_standard_value_units,,
