cell_line,activity_id,assay_chembl_id,molecule_chembl_id,canonical_smiles,target_pref_name,target_organism,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value_final,pchembl_source,pchembl_value_raw,data_validity_comment,standard_value_molar,standard_value_nM,pchembl_backcalc_molar,pchembl_backcalc_nM,p_from_standard,p_delta_abs
HepG2,298701,CHEMBL698432,CHEMBL332201,Cc1cc(-c2nc(C(C)C)n(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c2-c2ccc(F)cc2)cc(C)c1Cl.[Na+],HepG2,Homo sapiens,F,IC50,=,0.9,nM,9.05,pchembl_value,9.05,,9e-10,0.9,8.91e-10,0.891251,9.045757,0.004243
HepG2,298704,CHEMBL698432,CHEMBL333760,CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,HepG2,Homo sapiens,F,IC50,=,2.5,nM,8.6,pchembl_value,8.60,,2.5e-09,2.5,2.512e-09,2.511886,8.60206,0.00206
HepG2,300101,CHEMBL694355,CHEMBL333307,O=C([O-])C[C@H](O)C[C@H](O)/C=C/n1c(C(F)(F)F)nc(-c2ccc(F)cc2)c1-c1ccc(F)cc1.[Na+],HepG2,Homo sapiens,F,IC50,=,15.8,nM,7.8,pchembl_value,7.80,,1.58e-08,15.8,1.5849e-08,15.848932,7.801343,0.001343
HepG2,301560,CHEMBL694356,CHEMBL169267,O=c1[nH]c(=O)n([C@@H]2C=C[C@H](CO)O2)cc1F,HepG2,Homo sapiens,F,IC50,=,35400.0,nM,4.45,pchembl_value,4.45,,3.54e-05,35400.0,3.5481339e-05,35481.338923,4.450997,0.000997
HepG2,302567,CHEMBL694355,CHEMBL120932,CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],HepG2,Homo sapiens,F,IC50,=,5.3,nM,8.28,pchembl_value,8.28,,5.3e-09,5.3,5.248e-09,5.248075,8.275724,0.004276
HepG2,307969,CHEMBL694627,CHEMBL121200,CC(C)=CCC/C(C)=C/CC/C(C)=C/CCC1(C)CCc2cc(O)c(C)c(C)c2O1,HepG2,Homo sapiens,F,IC50,=,5900.0,nM,5.23,pchembl_value,5.23,,5.9e-06,5900.0,5.888437e-06,5888.436554,5.229148,0.000852
HepG2,307970,CHEMBL694628,CHEMBL121200,CC(C)=CCC/C(C)=C/CC/C(C)=C/CCC1(C)CCc2cc(O)c(C)c(C)c2O1,HepG2,Homo sapiens,F,IC50,=,2800.0,nM,5.55,pchembl_value,5.55,,2.8e-06,2800.0,2.818383e-06,2818.382931,5.552842,0.002842
HepG2,307971,CHEMBL871986,CHEMBL121200,CC(C)=CCC/C(C)=C/CC/C(C)=C/CCC1(C)CCc2cc(O)c(C)c(C)c2O1,HepG2,Homo sapiens,F,IC50,=,3000.0,nM,5.52,pchembl_value,5.52,,3e-06,3000.0,3.019952e-06,3019.95172,5.522879,0.002879
HepG2,332298,CHEMBL694628,CHEMBL121500,CC(C)=CCC/C(C)=C/CC/C(C)=C/CCC1(C)CCc2c(C)c(O)c(C)c(C)c2O1,HepG2,Homo sapiens,F,IC50,=,94000.0,nM,4.03,pchembl_value,4.03,,9.4e-05,94000.0,9.332543e-05,93325.43008,4.026872,0.003128
HepG2,345740,CHEMBL693797,CHEMBL185,O=c1[nH]cc(F)c(=O)[nH]1,HepG2,Homo sapiens,F,IC50,=,85000.0,nM,4.07,pchembl_value,4.07,,8.5e-05,85000.0,8.5113804e-05,85113.80382,4.070581,0.000581
