canonical_smiles,pIC50
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OC(=O)CCCCCCCCCCC)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,8.77
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OC(=O)CCCCCCCCCCCCC)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,9.05
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OCCCCCCCCCC)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,8.66
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OC(=O)/C=C/[C@@H](C)C[C@@H](C)CC)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,8.22
CCN(CC#CC#CC(C)(C)OC)Cc1cccc(OC[Si](C)(C)c2ccccc2C)c1,6.92
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OC(=O)NCCCCCCCCCCCC)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,8.06
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OC(=O)CCCCCCCCCCOc1ccccc1)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,8.7
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OCCCCCCCCCCCCCCCC)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,7.85
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OC(=O)CCCCCCCCCCCCCCC)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,8.6
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1,8.46
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,8.2
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(NC(=O)OCc4ccc(O[C@@H]5O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]5O)cc4)cccc3nc2-1.[K+],6.55
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(NC(=O)OCc4ccc(O[C@@H]5O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]5O)cc4)cccc3nc2-1.[K+],8.17
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(NC(=O)OCc4ccc(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)cc4)cccc3nc2-1,6.96
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(NC(=O)OCc4ccc(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)cc4)cccc3nc2-1,8.54
O=C([O-])CC(SCCCOC[C@H]1O[C@@H](O[C@H]2[C@H](OCCCSC(CC(=O)[O-])C(=O)[O-])[C@@H](OCCCSC(CC(=O)[O-])C(=O)[O-])C(OCCCSC(CC(=O)[O-])C(=O)[O-])O[C@@H]2COCCCSC(CC(=O)[O-])C(=O)[O-])[C@H](OCCCSC(CC(=O)[O-])C(=O)[O-])[C@@H](OCCCSC(CC(=O)[O-])C(=O)[O-])[C@@H]1OCCCSC(CC(=O)[O-])C(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],4.27
O=C([O-])CC(SCCCOC[C@H]1O[C@@H](O[C@H]2[C@H](OCCCSC(CC(=O)[O-])C(=O)[O-])[C@@H](OCCCSC(CC(=O)[O-])C(=O)[O-])[C@@H](OCCCSC(CC(=O)[O-])C(=O)[O-])O[C@@H]2COCCCSC(CC(=O)[O-])C(=O)[O-])[C@H](OCCCSC(CC(=O)[O-])C(=O)[O-])[C@@H](OCCCSC(CC(=O)[O-])C(=O)[O-])[C@@H]1OCCCSC(CC(=O)[O-])C(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],4.27
O=C([O-])CC(SCCCOC[C@H]1O[C@@](COCCCSC(CC(=O)[O-])C(=O)[O-])(O[C@H]2O[C@H](COCCCSC(CC(=O)[O-])C(=O)[O-])[C@@H](OCCCSC(CC(=O)[O-])C(=O)[O-])[C@H](OCCCSC(CC(=O)[O-])C(=O)[O-])[C@H]2OCCCSC(CC(=O)[O-])C(=O)[O-])[C@@H](OCCCSC(CC(=O)[O-])C(=O)[O-])[C@@H]1OCCCSC(CC(=O)[O-])C(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],4.65
Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,8.0
O=c1cc2oc3cccc([N+](=O)[O-])c3nc-2c2cccnc12,6.05
O=c1cc2oc3ccccc3nc-2c2ccncc12,4.8
O=c1cc2oc3ccc([N+](=O)[O-])cc3nc-2c2cccnc12,6.22
O=c1cc2oc3ccccc3nc-2c2cnccc12,5.0
O=c1cc2oc3c([N+](=O)[O-])cccc3nc-2c2cccnc12,6.05
O=c1cc2oc3ccccc3nc-2c2cccnc12,7.3
O=c1cc2oc3ccccc3nc-2c2ccccc12,5.28
O=c1cc2oc3ccc(Cl)cc3nc-2c2cccnc12,6.05
O=c1cc2oc3ccccc3nc-2c2ncccc12,6.96
Cc1cccc2oc3cc(=O)c4ncccc4c-3nc12,6.16
Cc1ccc2oc3cc(=O)c4ncccc4c-3nc2c1,6.52
Cc1ccc2nc3c4cccnc4c(=O)cc-3oc2c1,7.3
N#Cc1ccc2oc3cc(=O)c4ncccc4c-3nc2c1,7.4
Cc1cccc2nc3c4cccnc4c(=O)cc-3oc12,6.05
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,6.92
O=c1cc2oc3cc([N+](=O)[O-])ccc3nc-2c2cccnc12,6.3
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,4.5
C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1,4.78
C=CCc1ccc(Oc2cc(CC=C)ccc2O)cc1,4.29
C/C=C/c1ccc(O)c(-c2cc(/C=C/C)ccc2O)c1,4.42
C=CCc1cccc(-c2cccc(CC=C)c2O)c1O,4.38
CCCc1ccc(O)c(-c2cc(CCC)ccc2O)c1,4.63
CCCc1ccc(O)c(-c2ccc(O)c(CCC)c2)c1,4.88
CC(C)(COC(=O)c1ccccc1)CC1=C(O)C(=O)c2ccccc2C1=O,5.31
