canonical_smiles,pIC50
O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21,6.07
O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1c2c2ccccc2n1CCCO,5.72
Cn1cc(C2=C(c3c[nH]c4cc(Br)ccc34)C(=O)NC2=O)c2ccccc21,6.17
CNCCCn1c2ccccc2c2c3c(c4c5ccccc5[nH]c4c21)C(=O)NC3=O.I,6.28
COC(=O)[C@]1(O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,6.8
O=C1NC(=O)C(c2cn(CCCO)c3ccccc23)=C1c1c[nH]c2ccccc12,5.08
CN(C)CCCn1c2ccccc2c2c3c(c4c5ccccc5[nH]c4c21)C(=O)NC3=O,6.39
O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CCC3O1,6.16
Cn1c2ccccc2c2c3c(c4c5ccc(Br)cc5[nH]c4c21)C(=O)NC3=O,5.63
Cn1cc(C2=C(c3cn(CC(O)CO)c4ccccc34)C(=O)NC2=O)c2ccccc21,5.18
Cn1c2ccccc2c2c3c(c4c5ccc(F)cc5[nH]c4c21)C(=O)NC3=O,6.12
Cn1c2ccccc2c2c3c(c4c5ccccc5[nH]c4c21)C(=O)NC3=O,6.29
COc1ccc2c(C3=C(c4c[nH]c5cc(OC)ccc45)C(=O)NC3=O)c[nH]c2c1,6.52
Cn1cc(C2=C(c3cn(C)c4ccccc34)C(=O)NC2=O)c2ccccc21,5.84
COc1ccc2c(c1)[nH]c1c3[nH]c4cc(OC)ccc4c3c3c(c21)C(=O)NC3=O,6.33
Cn1cc(C2=C(c3c[nH]c4cc(F)ccc34)C(=O)NC2=O)c2ccccc21,5.61
Cn1c2ccccc2c2c3c(c4c5ccccc5n(CC(O)CO)c4c21)C(=O)NC3=O,6.09
CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,8.7
CC(C)(C)[Si](C)(C)O[C@@]12C#C/C=C\C#C[C@@H](OC(=O)COc3ccccc3)C(=CCC1)C2=O,6.72
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](OC(=O)NC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)C12)C3(C)C,7.99
COC1(OC)C=CC(=O)C=C1c1nc2ccccc2s1,4.65
CCOC1(OCC)C=CC(=O)C=C1c1nc2ccccc2s1,5.93
C#CCOC1(c2nc3ccccc3s2)C=CC(=O)C=C1,6.28
CC(=O)OC1(c2nc3ccccc3s2)C=CC(=O)C=C1,6.62
CCCOC1(c2nc3ccccc3s2)C=CC(=O)C=C1,6.57
COC1(c2nc3ccccc3s2)C=CC(=O)C=C1,6.22
CC(C)(C)[Si](C)(C)O[C@@]12C#C/C=C\C#C[C@@H](F)C(=CCC1)C2=O,7.62
CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](OC(=O)NC(C)(C)C)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,8.18
CCOC1(c2nc3ccccc3s2)C=CC(=O)C=C1,6.05
CC(C)(C)[Si](C)(C)O[C@@]12C#C/C=C\C#C[C@@H](O)C(=CCC1)C2=O,7.0
N#Cc1c[nH]c2c(NS(=O)(=O)c3ccc(N)nc3)cccc12,6.19
COCOc1cc(OC)c(OC)cc1-c1c(C(=O)OC)[nH]c(C(=O)OC)c1-c1ccc(OC)c(OC)c1,7.7
COCOc1cc(OC)c(OC)cc1-c1c(C(=O)OC)[nH]c(C(=O)OC)c1-c1ccc(OC)c(OC)c1,7.0
COCOc1cc(OC)c(OC)cc1-c1c(C(=O)OC)[nH]c(C(=O)OC)c1-c1ccc(OC)c(OC)c1,4.4
COCOc1cc(OC)c(OC)cc1-c1c(C(=O)OC)[nH]c(C(=O)OC)c1-c1ccc(OC)c(OC)c1,4.22
Nc1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cn1,6.15
NS(=O)(=O)c1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cn1,6.54
COc1ccc(CCn2cc(-c3ccc(OC)c(OC)c3)c3c4cc(OC)c(OC)cc4oc(=O)c32)cc1OC,8.7
COc1ccc(CCn2cc(-c3ccc(OC)c(OC)c3)c3c4cc(OC)c(OC)cc4oc(=O)c32)cc1OC,7.7
