SMILES,top1_pActivity
CCCCCCCC(O)c1cc(OC)c2c(c1OC)C(=O)C=CC2=O,4.36
CCCCCCCC/C=C\CCCCCCCC(=O)O,4.51
CCCCCCCCCC/C=C\CC/C=C\CCCC(=O)O,6.09
CCCCCCCCCCCCCCCCC/C=C\CC/C=C\CCCC(=O)O,6.05
CCCCCN1C=Nc2cccc3nc4c(c1c23)Cn1c-4cc2c(c1=O)COC(=O)[C@]2(O)CC,5.64
CCCCc1c2c(nc3ccccc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,6.7
CCCNN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,5.92
CCN(CC)CCOc1ccc2c3c(oc2c1)C(=O)c1ncccc1C3=O,4.19
CCNC(=S)NNC(=O)c1cc2c([nH]c3ccccc32)c(-c2cccc(O)c2)n1,4.55
CCNN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,5.46
CCOC(=O)c1c2c(nc3cc4c(cc13)OCCO4)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,6.16
CCOC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(NOC(=O)COc4ccc5nc6c(cc5c4)Cn4c-6cc5c(c4=O)COC(=O)C5(O)CC)cn3COC)cn2COC)cn1COC,5.41
CCOC(=O)c1cc(NC(=O)c2cc(NOC(=O)COc3ccc4nc5c(cc4c3)Cn3c-5cc4c(c3=O)COC(=O)C4(O)CC)cn2COC)cn1COC,5.37
CCOC(=O)c1cc(NOC(=O)COc2ccc3nc4c(cc3c2)Cn2c-4cc3c(c2=O)COC(=O)C3(O)CC)cn1COC,5.32
CCOC(=O)c1cc2c(CC)c3c(nc2cn1)-c1cc2c(c(=O)n1C3)COC(=O)[C@]2(O)CC,6.02
CC[C@@](O)(C(=O)[O-])c1cc2n(c(=O)c1CO)Cc1cc3c(N)c4c(cc3nc1-2)OCO4.[Na+],5.37
CC[C@@](O)(C(=O)[O-])c1cc2n(c(=O)c1CO)Cc1cc3cc4c(cc3nc1-2)OCO4.[Na+],6.08
CC[C@@](O)(C(=O)[O-])c1cc2n(c(=O)c1CO)Cc1cc3ccccc3nc1-2.[Na+],4.92
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1c[n+]([O-])c(CN)cc1c2C,6.72
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1c[n+]([O-])c(CNC(=O)OC(C)(C)C)cc1c2C,6.66
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2-c1ccc(C(F)(F)F)cc1)OCO3,6.8
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2-c1ccc(C)cc1)OCO3,5.98
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2-c1ccc(Cl)cc1)OCO3,5.94
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2-c1ccc(F)cc1)OCO3,5.86
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2-c1ccccc1)OCO3,6.82
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2C1CCCC1)OCO3,6.72
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2C1CCCCC1)OCO3,6.0
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CCl)OCCO3,7.96
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CCl)OCO3,7.82
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CN1CCN(C)CC1)OCCO3.O=C(O)C(F)(F)F,6.38
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CN1CCN(C)CC1)OCO3.O=C(O)C(F)(F)F,6.52
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2C[n+]1ccc(CO)cc1)OCCO3,6.47
